original,tokens,filtered,stemmed,lemmatized,sentiment
"Всіх вітаю! Брав даний парфум за інтуїцією Шикарний бренд, дуже приємний запах, тримається 4-5 годин. Ціна з знижкою супер! Тому взяв максимальний об'єм (;-)) Доставка від MAKEUP на висоті!!! Бажаю всім вдалих покупок!!!",['makeup'],['makeup'],['makeup'],['makeup'],positive
"То любов😍, брала чоловіку і зараз навіть не уявляю його з іншим ароматом, стійкі і довго тримаються і на тілі і на одягу, буду брати ще однозначно",[],[],[],[],neutral
"Дуже вдячна за чудовий сервіс. А ще більше дякую за емоції моїх дітей за отримані парфуми. Це дуже зворушливо, коли аромат припав до душі.",[],[],[],[],neutral
"Первый раз вижу чтобы распылитель на флаконе фирменных парфумов не был плотно закручен и отвинчивался руками, так что при открытии коробки чуть не пролил на себя содержимое флакона",[],[],[],[],neutral
"Замовляла туалетну воду на подарунок для чоловіка Доставка була швидка , щей пробника твердих парфумів поклали Аромат бомбезний , стійкий Дякую мейкап)",[],[],[],[],neutral
"Це дійсно чудовий аромат, насичений, стійкий шлейфовий, з особливою ноткою Armani, який не зможеш сплутати з іншими, і який ніколи не набридне. Останні 15 років завжди є в арсеналі чоловіка. Доставка Makeup , як завжди на висоті. Дякую.","['armani', 'makeup']","['armani', 'makeup']","['armani', 'makeup']","['armani', 'makeup']",neutral
"Гарний аромат, стійкі.",[],[],[],[],neutral
Стійкий та приємний аромат.,[],[],[],[],neutral
"Хороший аромат. Только для зимы. Стойкий, сладкий. Пахнет дорого только зимой.",[],[],[],[],neutral
Чоловікові сподобався....,[],[],[],[],neutral
По отзывам заказала на подарок мужу. Очень приятный аромат. Лёгкий. Стойкий,[],[],[],[],neutral
Даже не раздумывая купила. Оно того стоит! Armani это Armani!,"['armani', 'armani']","['armani', 'armani']","['armani', 'armani']","['armani', 'armani']",neutral
Дуже крутий аромат. Купувала на подарунок чоловіку. Він у захваті. Тепер цей аромат його фаворит.,[],[],[],[],neutral
"Продукт отличный, рекомендую. Оформление, доставка - быстро, качественно, удобно.",[],[],[],[],neutral
